Day,Date,Close,Open,High,Low
Thursday,2020-05-28,19169.8,18816.55,19436.0,18748.55
Friday,2020-05-29,19099.2,18918.0,19183.2,18655.8
Monday,2020-06-01,19894.1,19490.35,20179.8,19450.0
Tuesday,2020-06-02,20466.35,19880.0,20584.0,19750.0
Wednesday,2020-06-03,20882.4,20935.0,21611.55,20739.2
Thursday,2020-06-04,20379.95,20862.65,21080.0,20233.3
Friday,2020-06-05,21016.4,20431.0,21192.45,20388.0
Monday,2020-06-08,21161.6,21685.35,21775.0,20870.4
Tuesday,2020-06-09,20677.85,21201.05,21590.0,20576.0
Wednesday,2020-06-10,21119.4,20685.0,21300.0,20640.0
Thursday,2020-06-11,20508.85,20917.65,21239.65,20443.0
Friday,2020-06-12,20624.5,19555.0,20728.0,19555.0
Monday,2020-06-15,19911.5,20405.7,20430.2,19655.0
Tuesday,2020-06-16,20254.35,20503.0,20635.0,19435.8
Wednesday,2020-06-17,20147.55,20048.6,20620.5,19916.95
Thursday,2020-06-18,20912.65,20080.0,20975.0,19977.2
Friday,2020-06-19,21308.85,20890.0,21464.2,20826.0
Monday,2020-06-22,21697.0,21450.0,22126.85,21351.25
Tuesday,2020-06-23,22291.75,21779.25,22360.0,21622.15
Wednesday,2020-06-24,21400.6,22494.85,22494.85,21300.3
Thursday,2020-06-25,21506.15,21174.9,21717.7,20906.4
Friday,2020-06-26,21462.15,21599.95,21717.0,21167.05
Monday,2020-06-29,21235.2,21251.0,21325.9,20886.35
Tuesday,2020-06-30,21213.85,21443.0,21553.2,21036.0
Wednesday,2020-07-01,21930.45,21190.0,22014.0,21155.0
Thursday,2020-07-02,21977.3,22080.8,22289.65,21827.05
Friday,2020-07-03,21843.9,22149.0,22162.05,21750.0
Monday,2020-07-06,22226.3,22201.0,22444.0,22141.05
Tuesday,2020-07-07,22603.3,22209.95,22656.0,22000.9
Wednesday,2020-07-08,22610.75,22618.0,23118.25,22532.85
Thursday,2020-07-09,22908.1,22719.25,22980.0,22650.0
Friday,2020-07-10,22435.85,22755.65,22820.0,22325.4
Monday,2020-07-13,22174.55,22625.0,22664.4,22028.0
Tuesday,2020-07-14,21396.5,21942.5,21944.0,21212.9
Wednesday,2020-07-15,21320.95,21645.2,21940.0,21212.1
Thursday,2020-07-16,21571.3,21400.0,21647.5,21025.05
